index,Record ID,Account: AUM,Annual Revenue,CB 1st Priority,CB 2nd Priority,CB Industries,CB Industry Groups,CB Investment Stage,CB Investor Type,City,Company Domain Name,Company name,Company owner,Company Segment,Country/Region,Create Date,Crunchbase Company URL,CrunchBase URL,Data Source,Description,Industry,Is Public,LinkedIn Bio,LinkedIn Company Page,Merged Company IDs,Number of Associated Contacts,Number of Employees,Number of times contacted,Original Source Data 1,Original Source Data 2,Original Source Type,Parent Company,Phone Number,Postal Code,Segment- Comp,State/Region,Street Address,Street Address 2,Total Money Raised,Type,Web Technologies,Website URL,Year Founded
12,15765076992,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Golden Pine Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Golden Pine Ventures is a venture capital firm that seeks out biotechnology and biomedical opportunities developed by researchers and grows them into valuable businesses. The firm is based in Durham, North Carolina and also provides consulting services.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
13,15764457269,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Gray Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Gray Ventures was a venture capital firm that invested in the information technology industry. The firm was founded in 1991 and was based in Atlanta, Georgia.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
15,15765103406,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Hanna Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
18,15764437110,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,GreenHills Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"GreenHills Ventures is a private investment holding company established in 2001 for the purpose of investing in early stage companies. The firm seeks to invest in the healthcare technology, medical devices, mobile, wireless and cloud software sectors. It is based in New York, New York.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
24,15764625988,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Heroic Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Heroic Ventures is an early stage venture capital firm. The firm was founded in 2016 and is based in Palo Alto, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
25,15764511288,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Hickory Venture Capital,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Hickory Venture Capital is a corporate venture arm of First Tennessee Bank National Association. The firm prefers to invest in the healthcare services, medical devices, information technology, telecommunications, non-technology, basic manufacturing and service sectors. It was founded in 1985 and is based in Huntsville, Alabama.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
29,15764625999,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Hippo Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Hippo Ventures is a Raleigh, North Carolina based venture capital firm. The firm seeks to invest in the technology and healthcare sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
30,15764467371,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Honeycomb Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Honeycomb Ventures is a venture capital firm which seeks to invest in global media, technology and telecommunication companies, including those that focus on the cloud computing, payments, security technology and e-commerce sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
31,15764409129,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Highgate Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Highgate Ventures is the corporate venture arm of Igate based in Westport, Connecticut. The firm is focused on early stage technology investments in the hospitality industry. It seeks to invest in the internet infrastructure, enterprise software and e-services sectors.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
32,15765106081,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Huntington Ventures,Jay Patel,Empty,Empty,2023-05-16 14:52:00,Empty,Empty,Empty,"Huntington Ventures is a venture capital fund investing predominantly in seed, early and later stages. The firm prefers to invest in the communication, digital, media, mobility, innovation and software sectors. It was founded in 2000 and is based in Irvine, California.",Empty,Empty,Empty,Empty,Empty,1,Empty,Empty,IMPORT,35032634,Offline Sources,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
